sigma acceleration 0.0001
sigma position 0.5
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
